Fsm,No_of_testcases,No_of_threads,Total CPU,Total GPU,Execution GPU
s386.test,256,8,0.05918492,3.08560416,4.62359363
s386.test,256,32,0.68789967,3.08560416,4.62359363
s386.test,4096,1,2.99986125,3.75537696,5.29345047
s386.test,4096,4,1.21750192,3.75537696,5.29345047
s386.test,4096,8,0.72123769,3.75537696,5.29345047
s386.test,4096,32,0.44163376,3.75537696,5.29345047
s386.test,16384,1,69.64223187,18.76925696,23.74890758
s386.test,16384,4,26.15888175,18.76925696,23.74890758
s386.test,16384,8,14.03553557,18.76925696,23.74890758
s386.test,16384,32,9.45545451,18.76925696,23.74890758
s386.test,65536,1,259.57846443,65.87305312,84.90079728
s386.test,65536,4,73.65616136,65.87305312,84.90079728
s386.test,65536,8,54.73935488,65.87305312,84.90079728
s386.test,65536,32,31.14990183,65.87305312,84.90079728
s386.test,131072,1,649.8084581,143.81764416,180.88736172
s386.test,131072,4,220.43673896,143.81764416,180.88736172
s386.test,131072,8,135.29666885,143.81764416,180.88736172
s386.test,131072,32,83.82838784,143.81764416,180.88736172
s386.test,212992,1,1028.95280053,190.20810048,251.13120488
s386.test,212992,4,293.15973106,190.20810048,251.13120488
s386.test,212992,8,214.8689658,190.20810048,251.13120488
s386.test,212992,32,122.7823456,190.20810048,251.13120488
