Fsm,No_of_testcases,No_of_threads,Time taken,Execution GPU Optimised,Total GPU Optimised,Execution GPU Unoptimised,Total GPU Unoptimised
dayofdefeat-source.test,262144,4,171.091553,15.370784,80.600793,41.72512,129.386077
dayofdefeat-source.test,262144,1,303.95756,15.370784,80.600793,41.72512,129.386077
dayofdefeat-source.test,131072,32,13.296621,4.64,35.067939,19.537312,53.335659
dayofdefeat-source.test,131072,8,20.216369,4.64,35.067939,19.537312,53.335659
dayofdefeat-source.test,131072,4,38.419419,4.64,35.067939,19.537312,53.335659
dayofdefeat-source.test,131072,1,92.987713,4.64,35.067939,19.537312,53.335659
dayofdefeat-source.test,65536,32,5.643885,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,65536,8,10.309432,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,65536,4,17.846929,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,65536,1,51.708287,2.38464,27.684443,10.23248,38.917317
dayofdefeat-source.test,16384,32,1.173475,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,16384,8,2.367066,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,16384,4,4.378289,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,16384,1,9.500739,0.586016,4.651579,3.05408,6.838802
dayofdefeat-source.test,4096,32,4.303001,0.342145,2.761234,1.188352,2.560456
dayofdefeat-source.test,4096,8,0.610415,0.342145,2.761234,1.188352,2.560456
dayofdefeat-source.test,4096,4,1.12773,0.342145,2.761234,1.188352,2.560456
dayofdefeat-source.test,4096,1,3.749229,0.342145,2.761234,1.188352,2.560456
dayofdefeat-source.test,256,32,5.481226,0.272736,0.724562,0.88608,1.266085
dayofdefeat-source.test,256,8,0.030451,0.272736,0.724562,0.88608,1.266085
dayofdefeat-source.test,256,4,0.056293,0.272736,0.724562,0.88608,1.266085
dayofdefeat-source.test,256,1,0.173067,0.272736,0.724562,0.88608,1.266085
dazhihui.test,10,32,0.017879,0.041248,0.36129,0.062144,0.342223
dazhihui.test,10,8,0.00908,0.041248,0.36129,0.062144,0.342223
dazhihui.test,10,4,0.007194,0.041248,0.36129,0.062144,0.342223
dazhihui.test,10,1,0.005238,0.041248,0.36129,0.062144,0.342223
dhcp.test,384400,32,101.611453,40.051808,140.191158,66.575232,168.144133
dhcp.test,384400,8,204.732388,40.051808,140.191158,66.575232,168.144133
dhcp.test,384400,4,351.194678,40.051808,140.191158,66.575232,168.144133
dhcp.test,384400,1,743.004729,40.051808,140.191158,66.575232,168.144133
dhcp.test,262144,32,46.341122,16.494848,81.288941,36.933248,126.057294
dhcp.test,262144,8,95.423591,16.494848,81.288941,36.933248,126.057294
dhcp.test,262144,4,159.09908,16.494848,81.288941,36.933248,126.057294
dhcp.test,262144,1,325.560426,16.494848,81.288941,36.933248,126.057294
dhcp.test,131072,32,14.49007,5.213504,37.627348,17.006144,52.465226
dhcp.test,131072,8,22.168995,5.213504,37.627348,17.006144,52.465226
dhcp.test,131072,4,42.966027,5.213504,37.627348,17.006144,52.465226
dhcp.test,131072,1,101.133319,5.213504,37.627348,17.006144,52.465226
dhcp.test,65536,32,8.691277,2.632736,27.499153,8.922592,25.779586
dhcp.test,65536,8,11.084184,2.632736,27.499153,8.922592,25.779586
dhcp.test,65536,4,23.864117,2.632736,27.499153,8.922592,25.779586
dhcp.test,65536,1,44.528099,2.632736,27.499153,8.922592,25.779586
dhcp.test,16384,32,1.319375,0.65856,4.385972,2.631968,6.277207
dhcp.test,16384,8,2.632603,0.65856,4.385972,2.631968,6.277207
dhcp.test,16384,4,4.81829,0.65856,4.385972,2.631968,6.277207
dhcp.test,16384,1,10.690418,0.65856,4.385972,2.631968,6.277207
dhcp.test,4096,32,4.789376,0.43808,1.893401,1.041472,2.415256
dhcp.test,4096,8,0.697925,0.43808,1.893401,1.041472,2.415256
dhcp.test,4096,4,1.269648,0.43808,1.893401,1.041472,2.415256
dhcp.test,4096,1,2.232202,0.43808,1.893401,1.041472,2.415256
dhcp.test,256,32,0.020184,0.207936,0.623614,0.713216,1.080027
dhcp.test,256,8,0.030312,0.207936,0.623614,0.713216,1.080027
dhcp.test,256,4,0.055384,0.207936,0.623614,0.713216,1.080027
dhcp.test,256,1,0.068584,0.207936,0.623614,0.713216,1.080027
dns.test,8533670,32,34704.575877,0,0,29176.21376,32660.802927
dns.test,8533670,8,85494.57059,0,0,29176.21376,32660.802927
dns.test,8533670,4,146743.569998,0,0,29176.21376,32660.802927
dns.test,8533670,1,311381.838135,0,0,29176.21376,32660.802927
dns.test,4194304,32,9842.871697,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,4194304,8,17990.18131,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,4194304,4,28252.521027,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,4194304,1,86460.324209,7479.599616,8647.356878,7571.577952,8756.349806
dns.test,2097152,32,6486.791953,3162.74208,3833.353985,3209.9912,3776.036383
dns.test,2097152,8,13446.980775,3162.74208,3833.353985,3209.9912,3776.036383
dns.test,2097152,4,16712.693777,3162.74208,3833.353985,3209.9912,3776.036383
