FSM,Testcases,Cores,Total CPU,Execution GPU,Total GPU
dns.test,32768,16,2.0569,12.64672,13.753387
dns.test,32768,8,3.310763,12.64672,13.753387
dns.test,32768,1,17.467694,12.64672,13.753387
dns.test,16384,32,1.226137,5.6216,6.418708
dns.test,16384,16,1.326499,5.6216,6.418708
dns.test,16384,8,1.834245,5.6216,6.418708
dns.test,16384,1,11.361597,5.6216,6.418708
dns.test,8192,32,0.711964,3.895232,4.383878
dns.test,8192,16,1.113133,3.895232,4.383878
dns.test,8192,8,1.146308,3.895232,4.383878
dns.test,8192,1,5.680344,3.895232,4.383878
dns.test,4096,32,0.354166,2.74832,2.9999
dns.test,4096,16,0.611741,2.74832,2.9999
dns.test,4096,8,0.617398,2.74832,2.9999
dns.test,4096,1,2.822293,2.74832,2.9999
dns.test,2048,32,0.124947,2.7416,2.895626
dns.test,2048,16,0.194997,2.7416,2.895626
dns.test,2048,8,0.373861,2.7416,2.895626
dns.test,2048,1,1.4402,2.7416,2.895626
h323.test,2241832,32,115.036469,501.377312,574.645896
h323.test,2241832,16,135.217364,501.377312,574.645896
h323.test,2241832,8,276.52148,501.377312,574.645896
h323.test,2241832,1,1579.618238,501.377312,574.645896
h323.test,2097152,32,109.485262,455.726304,523.657731
h323.test,2097152,16,163.789638,455.726304,523.657731
h323.test,2097152,8,209.036557,455.726304,523.657731
h323.test,2097152,1,1476.380014,455.726304,523.657731
h323.test,1048576,32,54.156243,229.063808,263.753696
h323.test,1048576,16,99.400368,229.063808,263.753696
h323.test,1048576,8,115.10233,229.063808,263.753696
h323.test,1048576,1,740.943401,229.063808,263.753696
h323.test,524288,32,29.080161,116.065632,140.003109
h323.test,524288,16,47.429115,116.065632,140.003109
h323.test,524288,8,60.988971,116.065632,140.003109
h323.test,524288,1,371.540834,116.065632,140.003109
h323.test,262144,32,14.489515,59.173888,67.882181
h323.test,262144,16,22.885714,59.173888,67.882181
h323.test,262144,8,29.916442,59.173888,67.882181
h323.test,262144,1,184.394121,59.173888,67.882181
h323.test,131072,32,7.24186,32.052256,35.661321
h323.test,131072,16,13.398941,32.052256,35.661321
h323.test,131072,8,15.034209,32.052256,35.661321
h323.test,131072,1,91.532869,32.052256,35.661321
h323.test,65536,32,4.747053,18.74976,20.784883
h323.test,65536,16,4.258372,18.74976,20.784883
h323.test,65536,8,8.134921,18.74976,20.784883
h323.test,65536,1,45.586488,18.74976,20.784883
h323.test,32768,32,2.4052,11.191264,12.242925
h323.test,32768,16,3.651311,11.191264,12.242925
h323.test,32768,8,3.774651,11.191264,12.242925
h323.test,32768,1,22.721237,11.191264,12.242925
h323.test,16384,32,1.53714,5.570048,6.349425
h323.test,16384,16,2.461422,5.570048,6.349425
h323.test,16384,8,2.047123,5.570048,6.349425
h323.test,16384,1,11.396797,5.570048,6.349425
h323.test,8192,32,0.80178,3.943264,4.415516
h323.test,8192,16,1.47973,3.943264,4.415516
h323.test,8192,8,1.293603,3.943264,4.415516
h323.test,8192,1,5.687049,3.943264,4.415516
h323.test,4096,32,0.349486,3.406656,3.764943
h323.test,4096,16,0.838935,3.406656,3.764943
h323.test,4096,8,0.766579,3.406656,3.764943
h323.test,4096,1,3.725203,3.406656,3.764943
h323.test,2048,32,0.208197,3.368992,3.693564
h323.test,2048,16,0.46263,3.368992,3.693564
h323.test,2048,8,0.476109,3.368992,3.693564
h323.test,2048,1,1.872798,3.368992,3.693564
halflife2-deathmatch.test,1088409,32,175.526632,243.230112,278.97494
halflife2-deathmatch.test,1088409,16,215.265506,243.230112,278.97494
halflife2-deathmatch.test,1088409,8,305.109747,243.230112,278.97494
halflife2-deathmatch.test,1088409,1,2141.804558,243.230112,278.97494
halflife2-deathmatch.test,1048576,32,156.301099,234.497664,267.286625
halflife2-deathmatch.test,1048576,16,185.012637,234.497664,267.286625
halflife2-deathmatch.test,1048576,8,287.708542,234.497664,267.286625
halflife2-deathmatch.test,1048576,1,2056.499661,234.497664,267.286625
halflife2-deathmatch.test,524288,32,85.507159,118.826912,139.950588
halflife2-deathmatch.test,524288,16,122.142906,118.826912,139.950588
halflife2-deathmatch.test,524288,8,143.017606,118.826912,139.950588
halflife2-deathmatch.test,524288,1,1029.892257,118.826912,139.950588
halflife2-deathmatch.test,262144,32,39.431431,61.252704,69.53903
halflife2-deathmatch.test,262144,16,72.722263,61.252704,69.53903
halflife2-deathmatch.test,262144,8,84.284654,61.252704,69.53903
halflife2-deathmatch.test,262144,1,514.630375,61.252704,69.53903
halflife2-deathmatch.test,131072,32,21.102383,33.058176,37.173807
halflife2-deathmatch.test,131072,16,21.346338,33.058176,37.173807
halflife2-deathmatch.test,131072,8,37.230658,33.058176,37.173807
halflife2-deathmatch.test,131072,1,256.869844,33.058176,37.173807
halflife2-deathmatch.test,65536,32,10.659271,19.288032,21.327971
halflife2-deathmatch.test,65536,16,10.631334,19.288032,21.327971
halflife2-deathmatch.test,65536,8,21.209519,19.288032,21.327971
halflife2-deathmatch.test,65536,1,128.653456,19.288032,21.327971
halflife2-deathmatch.test,32768,32,5.924091,11.486624,12.716102
halflife2-deathmatch.test,32768,16,9.262302,11.486624,12.716102
halflife2-deathmatch.test,32768,8,10.610451,11.486624,12.716102
halflife2-deathmatch.test,32768,1,64.37649,11.486624,12.716102
halflife2-deathmatch.test,16384,32,3.124636,5.61344,6.308498
halflife2-deathmatch.test,16384,16,5.322477,5.61344,6.308498
halflife2-deathmatch.test,16384,8,5.295867,5.61344,6.308498
halflife2-deathmatch.test,16384,1,32.30928,5.61344,6.308498
halflife2-deathmatch.test,8192,32,1.754837,3.881824,4.502678
halflife2-deathmatch.test,8192,16,2.891645,3.881824,4.502678
halflife2-deathmatch.test,8192,8,2.845131,3.881824,4.502678
halflife2-deathmatch.test,8192,1,16.226542,3.881824,4.502678
halflife2-deathmatch.test,4096,32,1.165933,3.293024,3.636783
halflife2-deathmatch.test,4096,16,1.610543,3.293024,3.636783
halflife2-deathmatch.test,4096,8,1.54175,3.293024,3.636783
halflife2-deathmatch.test,4096,1,10.624141,3.293024,3.636783
halflife2-deathmatch.test,2048,32,0.651691,3.277504,3.585939
halflife2-deathmatch.test,2048,16,1.196664,3.277504,3.585939
halflife2-deathmatch.test,2048,8,1.007254,3.277504,3.585939
halflife2-deathmatch.test,2048,1,5.354185,3.277504,3.585939
hotline.test,1216433,32,15.887671,6.281376,39.112885
hotline.test,1216433,16,13.485754,6.281376,39.112885
